MS Band Data Logger 2016-3-28
Time Stamp,Band Contact,Skin Temperature(°C)
16:52:47.140,WORN,31.67
16:52:47.155,WORN,31.67
16:53:05.536,WORN,31.74
16:53:36.512,WORN,31.74
16:54:07.520,WORN,31.77
16:54:38.517,WORN,31.86
16:55:09.522,WORN,31.91
16:55:40.865,WORN,32.01
16:56:11.865,WORN,32.09
16:56:42.953,WORN,32.08
16:57:13.519,WORN,32.10
16:57:44.521,WORN,32.08
16:58:18.518,WORN,32.13
16:58:47.019,WORN,32.13
16:59:18.019,WORN,32.13
16:59:48.955,WORN,32.22
17:00:19.956,WORN,32.23
17:00:51.457,WORN,32.26
17:01:22.524,WORN,32.32
17:01:53.454,WORN,32.43
17:02:24.455,WORN,32.55
17:02:55.528,WORN,32.72
17:03:27.024,WORN,32.86
17:03:58.030,WORN,33.04
17:04:29.016,WORN,33.15
17:04:59.702,WORN,33.33
17:05:30.866,WORN,33.42
17:06:02.493,WORN,33.42
17:06:32.896,WORN,33.43
17:07:03.895,WORN,33.50
17:07:35.017,WORN,33.53
17:08:05.952,WORN,33.54
17:08:37.519,WORN,33.53
17:09:08.530,WORN,33.55
17:09:39.518,WORN,33.59
17:10:10.523,WORN,33.61
17:10:41.452,WORN,33.64
17:11:13.027,WORN,33.67
17:11:43.953,WORN,33.69
17:12:15.016,WORN,33.68
17:12:46.021,WORN,33.74
17:13:17.021,WORN,33.77
17:13:48.514,WORN,33.82
17:14:19.518,WORN,33.85
17:14:50.520,WORN,33.88
17:15:21.522,WORN,33.92
17:15:52.366,WORN,33.98
17:16:23.375,WORN,34.01
17:16:54.454,WORN,34.03
17:17:25.519,WORN,34.02
17:17:56.455,WORN,34.01
17:18:27.955,WORN,34.03
17:18:59.515,WORN,34.06
17:19:30.025,WORN,34.08
17:20:01.018,WORN,34.16
17:20:31.953,WORN,34.16
17:21:02.956,WORN,34.19
17:21:34.516,WORN,34.20
17:22:05.521,WORN,34.21
17:22:36.456,WORN,34.25
17:23:07.525,WORN,34.26
17:23:38.456,WORN,34.26
17:24:10.017,WORN,34.28
17:24:41.017,WORN,34.24
17:25:12.022,WORN,34.20
17:25:43.032,WORN,34.19
17:26:13.957,WORN,34.18
17:26:44.955,WORN,34.19
17:27:15.954,WORN,34.21
17:27:47.020,WORN,34.21
17:28:18.032,WORN,34.21
17:28:49.523,WORN,34.19
17:29:20.517,WORN,34.19
17:29:52.018,WORN,34.21
17:30:22.517,WORN,34.24
17:30:53.452,WORN,34.26
17:31:25.023,WORN,34.26
17:31:56.020,WORN,34.28
17:32:27.021,WORN,34.29
17:32:58.520,WORN,34.28
17:33:29.026,WORN,34.31
17:33:59.982,WORN,34.31
17:34:31.516,WORN,34.31
17:35:02.520,WORN,34.33
17:35:33.520,WORN,34.35
17:36:04.373,WORN,34.37
17:36:35.373,WORN,34.42
17:37:06.455,WORN,34.46
17:37:37.454,WORN,34.51
17:38:08.519,WORN,34.56
17:38:39.532,WORN,34.62
17:39:11.017,WORN,34.65
17:39:42.017,WORN,34.68
17:40:12.958,WORN,34.69
17:40:43.954,WORN,34.72
17:41:14.957,WORN,34.79
17:41:46.518,WORN,34.78
17:42:17.454,WORN,34.71
17:42:48.455,WORN,34.59
17:43:19.533,WORN,34.46
17:43:50.524,WORN,34.34
17:44:21.457,WORN,34.26
17:44:52.952,WORN,34.21
17:45:23.954,WORN,34.18
17:45:54.877,WORN,34.13
17:46:25.875,WORN,34.10
17:46:56.957,WORN,34.08
17:47:28.019,WORN,34.08
17:47:59.016,WORN,34.05
17:48:29.983,WORN,33.99
17:49:01.029,WORN,33.94
17:49:32.518,WORN,33.93
17:50:03.521,WORN,33.92
17:50:34.452,WORN,33.90
17:51:06.519,WORN,33.91
17:51:36.530,WORN,33.89
17:52:08.520,WORN,33.76
17:52:41.528,WORN,33.78
17:53:09.958,WORN,33.74
17:53:41.018,WORN,33.70
17:54:12.014,WORN,33.65
17:54:42.957,WORN,33.56
