MS Band Data Logger 2016-4-10
Time Stamp,Band Contact,Skin Temperature(°C)
00:00:09.905,NOT_WORN,27.90
00:00:40.896,NOT_WORN,27.89
00:01:12.401,NOT_WORN,27.87
00:01:43.393,NOT_WORN,27.87
00:02:14.395,NOT_WORN,27.86
00:02:45.090,NOT_WORN,27.86
00:03:16.248,NOT_WORN,27.86
00:03:47.774,NOT_WORN,27.85
00:04:18.773,NOT_WORN,27.84
00:04:49.869,NOT_WORN,27.82
00:05:20.841,NOT_WORN,27.81
00:05:51.834,NOT_WORN,27.78
00:06:23.831,NOT_WORN,27.77
00:06:54.330,NOT_WORN,27.76
00:07:25.396,NOT_WORN,27.75
00:07:56.392,NOT_WORN,27.71
00:08:18.895,WORN,27.71
00:09:01.398,WORN,31.70
00:09:32.399,WORN,32.03
00:10:03.341,WORN,32.29
00:10:34.861,WORN,32.46
00:11:05.897,WORN,32.57
00:11:36.898,WORN,32.60
00:12:07.966,WORN,32.69
00:12:38.902,WORN,32.73
00:13:09.903,WORN,32.73
00:13:41.400,WORN,32.82
00:14:12.397,WORN,32.79
00:14:43.335,WORN,32.91
00:15:14.331,WORN,32.94
00:15:45.399,WORN,32.96
00:16:17.395,WORN,33.03
00:16:47.896,WORN,33.06
00:17:18.897,WORN,32.97
00:17:49.836,WORN,32.90
00:18:20.891,WORN,32.79
00:18:51.895,WORN,32.71
00:19:22.833,WORN,32.59
00:19:53.835,WORN,32.68
00:20:24.899,WORN,32.73
00:20:55.752,WORN,32.75
00:21:27.252,WORN,32.82
00:21:58.331,WORN,32.85
00:22:29.394,WORN,32.84
00:23:00.334,WORN,32.86
00:23:31.395,WORN,32.82
00:24:02.903,WORN,32.82
00:24:33.895,WORN,32.82
00:25:04.901,WORN,32.84
00:25:35.831,WORN,32.87
00:26:06.897,WORN,32.90
00:26:38.252,WORN,32.94
00:27:09.253,WORN,32.95
00:27:40.363,WORN,33.00
00:28:11.271,WORN,33.06
00:28:42.367,WORN,33.13
00:29:13.370,WORN,33.22
00:29:44.355,WORN,33.29
00:30:15.360,WORN,33.26
00:30:46.188,WORN,33.33
00:31:17.254,WORN,33.37
00:31:48.769,WORN,33.42
07:26:16.102,WORN,35.59
07:26:16.138,WORN,35.59
07:26:59.399,WORN,35.54
07:27:30.463,WORN,35.50
07:28:04.461,WORN,35.45
07:28:35.958,WORN,35.52
07:29:04.903,WORN,35.48
07:29:34.900,WORN,35.34
07:30:05.961,WORN,35.19
07:30:36.857,WORN,35.08
07:31:08.319,WORN,35.00
07:31:39.474,WORN,34.93
07:32:10.397,WORN,34.89
07:32:41.396,WORN,34.85
07:33:12.394,WORN,34.83
07:33:43.810,WORN,34.81
07:34:14.962,WORN,34.79
07:34:45.963,WORN,34.79
07:35:16.965,WORN,34.79
07:35:48.470,WORN,34.81
07:36:18.967,WORN,34.81
07:36:49.963,WORN,34.83
07:37:22.400,WORN,34.86
07:37:52.400,WORN,34.86
07:38:23.398,WORN,34.86
07:38:54.397,WORN,34.85
07:39:25.463,WORN,34.86
07:39:56.462,WORN,34.85
07:40:27.462,WORN,34.86
07:40:58.965,WORN,34.86
07:41:29.898,WORN,34.86
07:42:00.963,WORN,34.87
07:42:31.899,WORN,34.87
07:43:02.900,WORN,34.88
07:43:34.459,WORN,34.88
