MS Band Data Logger 2016-3-20
Time Stamp,Band Contact,Skin Temperature(°C)
06:13:45.915,WORN,35.62
06:13:45.932,WORN,35.62
06:14:34.659,WORN,35.25
06:18:09.697,WORN,33.90
06:18:09.712,WORN,33.90
06:18:11.929,WORN,33.91
06:18:43.167,WORN,33.91
06:19:14.283,WORN,33.94
06:19:45.785,WORN,33.98
06:20:16.777,WORN,34.06
06:20:47.690,WORN,34.13
06:21:18.747,WORN,34.19
06:21:49.775,WORN,34.25
06:22:21.306,WORN,34.33
06:22:52.309,WORN,34.41
06:23:23.310,WORN,34.45
06:23:54.313,WORN,34.31
06:24:25.323,WORN,34.28
06:24:56.310,WORN,34.27
06:25:27.307,WORN,34.28
06:25:58.315,WORN,34.25
06:26:29.246,WORN,34.27
06:27:00.322,WORN,34.34
06:27:58.248,WORN,34.05
06:28:28.320,WORN,34.10
06:28:58.249,WORN,33.99
06:29:53.308,WORN,33.79
06:30:24.748,WORN,33.67
06:30:55.809,WORN,33.57
06:31:26.749,WORN,33.49
06:31:57.808,WORN,33.46
06:32:28.809,WORN,33.45
06:33:00.248,WORN,33.25
06:33:31.307,WORN,33.04
06:34:02.247,WORN,32.91
06:34:33.165,WORN,32.83
06:35:32.781,WORN,32.82
06:36:26.772,WORN,32.81
06:36:49.784,WORN,32.36
06:37:27.697,WORN,32.10
06:37:50.196,WORN,31.75
06:38:21.272,WORN,31.40
06:38:52.312,WORN,31.40
06:39:24.250,WORN,31.34
06:39:55.317,WORN,31.45
06:40:25.814,WORN,31.51
06:40:56.810,WORN,31.50
06:41:27.813,WORN,31.53
06:42:00.812,WORN,31.52
06:42:30.310,WORN,31.53
06:43:01.317,WORN,31.50
06:43:32.255,WORN,31.55
06:44:03.247,WORN,31.57
06:44:34.661,WORN,31.60
06:45:05.170,WORN,31.60
06:45:36.311,WORN,31.67
06:46:07.311,WORN,31.71
06:46:38.310,WORN,31.77
06:47:10.312,WORN,31.76
06:47:40.811,WORN,31.75
06:48:11.660,WORN,31.86
06:48:43.672,WORN,31.82
06:49:16.273,WORN,31.78
06:49:45.191,WORN,31.77
06:50:16.280,WORN,31.80
06:50:47.192,WORN,31.84
06:51:19.775,WORN,31.79
06:58:46.828,WORN,31.20
06:58:46.837,WORN,31.20
06:58:47.243,WORN,31.20
06:58:47.246,WORN,31.20
06:59:04.248,WORN,31.14
06:59:35.318,WORN,31.12
07:00:06.814,WORN,31.08
