MS Band Data Logger 2016-3-15
Time Stamp,Band Contact,Skin Temperature(°C)
00:00:16.388,WORN,33.03
00:00:47.229,WORN,33.01
00:01:18.321,WORN,32.97
00:01:49.320,WORN,32.94
00:02:19.739,WORN,32.92
00:02:50.859,WORN,32.90
00:03:21.761,WORN,32.86
00:03:52.861,WORN,32.82
00:04:23.876,WORN,32.78
00:04:54.886,WORN,32.74
00:05:25.252,WORN,32.73
00:05:56.382,WORN,32.72
00:06:27.375,WORN,32.70
00:06:58.230,WORN,32.69
00:07:29.242,WORN,32.68
00:08:00.322,WORN,32.66
00:08:31.386,WORN,32.65
00:09:01.822,WORN,32.69
00:09:32.739,WORN,32.70
00:10:03.739,WORN,32.69
00:10:34.730,WORN,32.68
00:11:05.740,WORN,32.66
00:11:36.739,WORN,32.66
00:12:07.238,WORN,32.66
00:12:38.238,WORN,32.63
00:13:09.239,WORN,32.64
00:13:40.238,WORN,32.61
00:14:11.239,WORN,32.61
00:14:42.239,WORN,32.61
00:15:13.239,WORN,32.61
00:15:43.844,WORN,32.63
00:16:14.878,WORN,32.62
00:16:45.882,WORN,32.61
00:17:16.740,WORN,32.60
00:17:47.740,WORN,32.59
00:18:18.760,WORN,32.61
00:18:49.755,WORN,32.63
00:19:20.381,WORN,32.66
00:19:51.343,WORN,32.68
00:20:22.322,WORN,32.63
00:20:53.309,WORN,32.64
00:21:24.381,WORN,32.63
00:21:55.383,WORN,32.63
00:22:25.885,WORN,32.63
00:22:56.820,WORN,32.62
00:23:27.875,WORN,32.61
00:23:58.820,WORN,32.60
00:24:29.821,WORN,32.62
00:25:00.831,WORN,32.63
00:25:31.740,WORN,32.63
00:26:02.234,WORN,32.66
00:26:33.238,WORN,32.66
00:27:04.231,WORN,32.66
00:27:35.238,WORN,32.65
00:28:06.239,WORN,32.65
00:28:37.238,WORN,32.62
00:29:08.236,WORN,32.69
00:29:38.740,WORN,32.62
00:30:09.740,WORN,32.63
00:30:40.742,WORN,33.35
00:31:11.885,WORN,33.39
00:31:42.886,WORN,33.42
00:32:13.878,WORN,33.49
00:32:44.376,WORN,33.53
00:33:15.382,WORN,33.57
00:33:46.382,WORN,33.63
00:34:17.380,WORN,33.67
00:34:48.381,WORN,33.71
00:35:19.378,WORN,33.73
