MS Band Data Logger 2016-2-16
Time Stamp,Band Contact,Skin Temperature(°C)
00:00:16.438,WORN,35.99
00:00:47.511,WORN,35.99
00:01:18.444,WORN,35.99
00:01:49.380,WORN,35.99
00:02:20.941,WORN,35.99
00:02:51.956,WORN,36.01
00:03:22.883,WORN,35.99
00:03:53.945,WORN,36.01
00:04:24.880,WORN,36.01
00:04:55.943,WORN,36.06
00:05:26.949,WORN,36.06
00:05:57.880,WORN,36.05
00:06:28.942,WORN,36.04
00:07:00.460,WORN,36.04
00:07:31.447,WORN,36.04
00:08:02.447,WORN,36.03
00:08:33.446,WORN,36.03
00:09:04.447,WORN,36.04
00:09:35.803,WORN,36.04
00:10:06.803,WORN,36.03
00:10:37.958,WORN,36.04
00:11:08.946,WORN,36.03
00:11:39.947,WORN,36.04
00:12:10.947,WORN,36.03
00:12:42.458,WORN,36.04
00:13:13.454,WORN,36.04
00:13:44.388,WORN,36.06
00:14:15.384,WORN,36.04
00:14:46.457,WORN,36.09
00:15:17.459,WORN,36.12
00:15:48.387,WORN,36.11
00:16:19.451,WORN,36.09
00:16:50.448,WORN,36.08
00:17:21.949,WORN,36.08
00:17:52.950,WORN,36.08
00:18:23.891,WORN,36.09
00:18:54.949,WORN,36.06
00:19:25.809,WORN,35.99
00:19:57.309,WORN,35.78
00:20:28.417,WORN,35.60
00:20:59.413,WORN,35.46
00:21:30.332,WORN,35.37
00:22:01.416,WORN,35.30
00:22:32.420,WORN,35.24
00:23:03.927,WORN,35.18
00:23:34.923,WORN,35.16
00:24:05.950,WORN,35.14
00:24:36.893,WORN,35.15
00:25:07.956,WORN,35.15
00:25:38.893,WORN,35.15
00:26:09.954,WORN,35.11
00:26:40.957,WORN,35.09
00:27:11.813,WORN,35.07
00:27:43.310,WORN,35.05
00:28:14.457,WORN,35.04
00:28:45.396,WORN,35.03
00:29:16.457,WORN,35.02
00:29:47.452,WORN,35.01
00:30:18.461,WORN,35.02
00:30:49.963,WORN,35.00
00:31:20.957,WORN,35.00
00:31:51.897,WORN,34.98
00:32:22.970,WORN,34.95
00:32:53.960,WORN,34.95
00:33:25.308,WORN,34.93
00:33:56.317,WORN,34.91
00:34:27.340,WORN,34.91
00:34:58.433,WORN,34.91
00:35:29.420,WORN,34.91
00:36:00.340,WORN,34.88
00:36:31.422,WORN,34.85
00:37:02.431,WORN,34.82
00:37:33.434,WORN,34.81
00:38:04.931,WORN,34.79
00:38:35.921,WORN,34.79
00:39:06.862,WORN,34.78
00:39:37.928,WORN,34.77
00:40:08.899,WORN,34.77
00:40:40.468,WORN,34.75
00:41:11.465,WORN,34.75
00:41:42.459,WORN,34.72
00:42:13.598,WORN,34.70
00:42:44.468,WORN,34.68
00:43:15.468,WORN,34.65
00:43:46.903,WORN,34.65
00:44:17.976,WORN,34.65
00:44:48.470,WORN,34.68
00:45:19.323,WORN,34.70
00:45:50.825,WORN,34.68
00:46:21.960,WORN,34.66
00:46:52.965,WORN,34.65
00:47:23.977,WORN,34.65
00:47:54.970,WORN,34.63
00:48:26.405,WORN,34.63
00:48:57.405,WORN,34.63
00:49:28.467,WORN,34.62
00:49:59.462,WORN,34.61
00:50:30.469,WORN,34.59
00:51:01.827,WORN,34.56
00:51:32.819,WORN,34.56
00:52:03.933,WORN,34.56
00:52:34.940,WORN,34.56
00:53:05.931,WORN,34.56
00:53:36.940,WORN,34.54
00:54:08.440,WORN,34.55
00:54:39.447,WORN,34.58
00:55:09.938,WORN,34.61
00:55:40.946,WORN,34.61
00:56:12.433,WORN,34.59
00:56:43.445,WORN,34.58
00:57:14.330,WORN,34.56
00:57:45.322,WORN,34.56
00:58:16.435,WORN,34.55
00:58:47.948,WORN,34.55
00:59:18.943,WORN,34.55
00:59:49.935,WORN,34.55
01:00:20.911,WORN,34.55
01:00:51.909,WORN,34.54
01:01:22.980,WORN,34.54
01:01:54.411,WORN,34.54
01:02:25.478,WORN,34.52
01:02:56.572,WORN,34.52
01:03:27.484,WORN,34.52
01:03:58.412,WORN,34.52
01:04:29.485,WORN,34.53
01:05:00.476,WORN,34.56
01:05:31.484,WORN,34.58
01:06:02.477,WORN,34.55
01:06:33.981,WORN,34.54
01:07:04.987,WORN,34.53
01:07:35.978,WORN,34.52
01:08:06.979,WORN,34.52
01:08:37.977,WORN,34.53
01:09:09.474,WORN,34.52
01:09:40.337,WORN,34.52
01:10:11.337,WORN,34.52
01:10:42.359,WORN,34.52
01:11:13.440,WORN,34.52
01:11:44.862,WORN,34.52
01:12:15.949,WORN,34.52
01:12:46.982,WORN,34.52
01:13:17.988,WORN,34.52
01:13:48.979,WORN,34.52
01:14:19.920,WORN,34.53
01:14:50.918,WORN,34.56
01:15:21.924,WORN,34.57
01:15:52.980,WORN,34.56
01:16:23.987,WORN,34.56
01:16:55.486,WORN,34.54
01:17:26.487,WORN,34.54
01:17:57.420,WORN,34.54
01:18:28.330,WORN,34.54
01:18:59.331,WORN,34.54
01:19:30.832,WORN,34.54
01:20:01.931,WORN,34.53
01:20:32.984,WORN,34.54
01:21:03.984,WORN,34.48
01:21:34.953,WORN,34.49
01:22:06.488,WORN,34.53
01:22:37.425,WORN,34.59
01:23:08.495,WORN,34.65
01:23:39.486,WORN,34.73
01:24:10.489,WORN,34.81
01:24:41.567,WORN,34.90
01:25:12.487,WORN,34.97
