MS Band Data Logger 2016-3-22
Time Stamp,Band Contact,Skin Temperature(°C)
08:59:25.663,NOT_WORN,21.45
08:59:25.812,NOT_WORN,21.45
08:59:51.241,NOT_WORN,21.45
09:00:21.629,NOT_WORN,21.48
09:00:39.611,WORN,21.48
09:00:51.749,WORN,23.77
09:01:25.606,WORN,26.87
09:01:56.688,WORN,27.78
09:02:27.756,WORN,28.27
09:02:59.248,WORN,28.63
09:03:30.186,WORN,28.91
09:04:01.251,WORN,29.23
09:04:32.246,WORN,29.53
09:19:05.850,WORN,29.99
09:19:05.894,WORN,29.99
09:19:33.689,WORN,29.97
09:20:04.690,WORN,29.57
09:20:35.687,WORN,29.79
09:21:06.605,WORN,29.35
09:21:37.756,WORN,29.61
09:22:08.754,WORN,29.61
09:23:00.749,WORN,29.38
09:23:31.755,WORN,29.57
09:24:02.752,WORN,29.61
09:24:34.107,WORN,29.65
09:25:05.105,WORN,29.51
09:25:36.186,WORN,29.99
09:26:07.241,WORN,29.91
09:26:38.104,WORN,30.08
09:27:09.755,WORN,30.10
09:27:40.747,WORN,30.04
09:28:11.748,WORN,29.72
09:28:42.762,WORN,29.70
09:29:13.745,WORN,29.40
09:29:45.253,WORN,29.21
09:30:16.252,WORN,29.00
09:30:47.683,WORN,29.27
09:31:18.243,WORN,29.45
09:31:49.255,WORN,29.55
09:32:20.248,WORN,29.90
09:32:51.259,WORN,30.05
09:33:22.268,WORN,30.13
09:33:53.189,WORN,29.97
09:34:24.256,WORN,30.47
09:34:55.756,WORN,30.49
09:35:26.751,WORN,30.36
09:35:57.687,WORN,30.23
09:36:28.603,WORN,30.14
09:36:59.605,WORN,30.34
09:37:31.261,WORN,30.47
09:38:02.188,WORN,30.51
09:38:33.253,WORN,30.55
09:39:04.189,WORN,30.57
09:39:35.252,WORN,30.55
09:40:06.749,WORN,30.46
09:40:37.688,WORN,30.49
09:41:08.743,WORN,30.38
09:41:39.606,WORN,30.55
09:42:10.607,WORN,30.39
09:42:41.686,WORN,30.27
09:43:12.692,WORN,29.93
09:43:43.749,WORN,29.93
09:44:14.757,WORN,29.79
09:44:45.745,WORN,29.93
09:45:16.688,WORN,29.62
09:45:47.750,WORN,29.56
09:46:19.186,WORN,29.36
09:46:50.243,WORN,29.49
09:47:21.188,WORN,29.26
09:47:52.188,WORN,29.19
09:48:23.190,WORN,28.30
09:48:54.715,WORN,28.86
09:49:25.747,WORN,28.88
09:49:56.748,WORN,28.88
09:50:27.687,WORN,28.77
09:50:58.753,WORN,28.63
09:51:30.183,WORN,29.01
09:52:01.188,WORN,29.04
09:52:32.186,WORN,28.67
09:53:02.686,WORN,28.27
09:53:34.190,WORN,28.63
09:54:05.243,WORN,28.75
09:54:36.187,WORN,28.97
09:55:07.246,WORN,28.93
09:55:38.254,WORN,28.99
09:56:09.254,WORN,29.02
09:56:40.745,WORN,28.55
09:57:11.605,WORN,29.08
09:57:42.606,WORN,29.15
09:58:13.751,WORN,29.27
09:58:44.749,WORN,29.34
09:59:16.187,WORN,29.18
09:59:47.106,WORN,29.23
10:00:18.225,WORN,29.42
