MS Band Data Logger 2016-2-13
Time Stamp,Band Contact,Skin Temperature(°C)
00:00:20.810,WORN,30.82
00:00:51.816,WORN,30.87
00:01:23.376,WORN,30.92
00:01:54.383,WORN,30.97
00:02:25.376,WORN,31.01
00:02:56.385,WORN,31.05
00:03:27.235,WORN,31.07
00:03:58.734,WORN,31.06
00:04:29.353,WORN,31.07
00:05:00.343,WORN,31.14
00:05:31.350,WORN,31.16
00:06:02.854,WORN,31.14
00:06:33.845,WORN,31.14
00:07:04.857,WORN,31.14
00:07:35.852,WORN,31.14
00:08:06.726,WORN,31.15
00:08:38.234,WORN,31.18
00:09:09.308,WORN,31.15
00:09:40.354,WORN,31.18
00:10:11.258,WORN,31.16
00:10:42.357,WORN,31.15
00:11:13.877,WORN,31.14
00:11:44.874,WORN,31.14
00:12:15.877,WORN,31.12
00:12:46.872,WORN,31.12
00:13:17.875,WORN,31.12
00:13:48.812,WORN,31.10
00:14:20.379,WORN,31.11
00:14:51.375,WORN,31.17
00:15:21.882,WORN,31.35
00:15:52.889,WORN,31.63
00:16:24.380,WORN,31.90
00:16:55.375,WORN,32.16
00:17:26.312,WORN,32.40
00:17:57.371,WORN,32.58
00:18:28.378,WORN,32.76
00:18:59.871,WORN,32.89
00:19:30.754,WORN,33.02
00:20:01.753,WORN,33.13
00:20:32.871,WORN,33.20
00:21:03.776,WORN,33.29
00:21:34.871,WORN,33.36
00:22:06.369,WORN,33.42
00:22:37.276,WORN,33.49
00:23:08.363,WORN,33.54
00:23:39.369,WORN,33.56
00:24:10.365,WORN,33.51
00:24:41.244,WORN,33.50
00:25:12.253,WORN,33.56
00:25:43.278,WORN,33.57
00:26:14.377,WORN,33.58
00:26:45.862,WORN,33.59
00:27:16.862,WORN,33.62
00:27:47.876,WORN,33.64
00:28:18.863,WORN,33.65
00:28:49.776,WORN,33.67
00:29:21.364,WORN,33.69
00:29:52.404,WORN,33.70
00:30:23.333,WORN,33.72
00:30:54.254,WORN,33.74
00:31:25.254,WORN,33.76
00:31:56.332,WORN,33.77
00:32:27.894,WORN,33.80
00:32:58.895,WORN,33.80
00:33:29.832,WORN,33.83
00:34:00.889,WORN,33.83
00:34:31.894,WORN,33.84
00:35:02.828,WORN,33.89
00:35:33.894,WORN,33.92
00:36:04.900,WORN,33.93
00:36:35.900,WORN,33.93
00:37:07.476,WORN,33.93
00:37:38.397,WORN,33.94
00:38:09.398,WORN,33.95
00:38:40.400,WORN,33.96
00:39:11.335,WORN,33.96
00:39:42.897,WORN,33.98
00:40:13.902,WORN,33.98
00:40:44.827,WORN,34.01
00:41:15.900,WORN,34.01
00:41:46.893,WORN,34.03
00:42:18.333,WORN,34.05
00:42:49.477,WORN,34.05
00:43:20.338,WORN,34.08
00:43:51.347,WORN,34.09
00:44:22.396,WORN,34.09
00:44:53.400,WORN,34.11
00:45:24.402,WORN,34.17
00:45:55.331,WORN,34.19
00:46:26.251,WORN,34.18
00:46:57.251,WORN,34.18
00:47:28.775,WORN,34.20
00:47:59.864,WORN,34.20
00:48:30.778,WORN,34.21
00:49:01.833,WORN,34.21
00:49:32.894,WORN,34.22
00:50:04.402,WORN,34.23
00:50:35.331,WORN,34.23
00:51:06.388,WORN,34.25
00:51:37.336,WORN,34.26
00:52:08.400,WORN,34.27
00:52:39.894,WORN,34.27
00:53:10.895,WORN,34.28
00:53:41.911,WORN,34.28
00:54:12.895,WORN,34.29
00:54:43.831,WORN,34.31
00:55:14.900,WORN,34.35
00:55:45.903,WORN,34.36
00:56:16.831,WORN,34.36
00:56:47.834,WORN,34.36
00:57:18.893,WORN,34.32
00:57:50.333,WORN,34.27
00:58:21.332,WORN,34.27
00:58:52.333,WORN,34.27
00:59:23.332,WORN,34.28
00:59:54.397,WORN,34.29
01:00:25.831,WORN,34.32
01:00:56.901,WORN,34.35
01:01:27.901,WORN,34.38
01:01:58.899,WORN,34.39
01:02:29.753,WORN,34.41
01:03:01.251,WORN,34.44
01:03:32.276,WORN,34.46
01:04:03.374,WORN,34.47
01:04:34.371,WORN,34.50
01:05:05.370,WORN,34.54
01:05:36.372,WORN,34.57
01:06:07.374,WORN,34.59
01:06:38.326,WORN,34.59
01:07:09.402,WORN,34.59
01:07:40.329,WORN,34.60
01:08:11.894,WORN,34.61
01:08:42.896,WORN,34.62
01:09:13.900,WORN,34.64
01:09:44.898,WORN,34.63
01:10:15.899,WORN,34.64
01:10:47.393,WORN,34.65
01:11:18.397,WORN,34.66
01:11:49.391,WORN,34.68
01:12:20.332,WORN,34.69
01:12:51.397,WORN,34.69
01:13:22.903,WORN,34.70
01:13:53.902,WORN,34.70
01:14:24.891,WORN,34.71
01:14:55.832,WORN,34.72
01:15:26.903,WORN,34.77
01:15:57.835,WORN,34.78
01:16:28.896,WORN,34.78
01:16:59.898,WORN,34.77
01:17:30.910,WORN,34.77
01:18:02.253,WORN,34.77
01:18:33.253,WORN,34.78
01:19:04.402,WORN,34.78
01:19:35.396,WORN,34.75
01:20:06.406,WORN,34.64
01:20:37.333,WORN,34.52
01:21:08.900,WORN,34.44
01:21:39.907,WORN,34.37
01:22:10.901,WORN,34.30
01:22:41.896,WORN,34.26
01:23:12.898,WORN,34.20
01:23:44.328,WORN,34.17
01:24:15.335,WORN,34.12
01:24:46.398,WORN,34.12
01:25:17.397,WORN,34.13
01:25:48.473,WORN,34.14
01:26:19.395,WORN,34.11
01:26:50.394,WORN,34.08
01:27:21.334,WORN,34.08
01:27:52.404,WORN,34.05
01:28:23.895,WORN,34.04
01:28:54.905,WORN,34.04
01:29:25.831,WORN,34.05
01:29:56.836,WORN,34.04
01:30:27.897,WORN,34.03
01:30:59.359,WORN,34.03
01:31:30.396,WORN,34.03
01:32:01.250,WORN,34.00
01:32:32.251,WORN,33.98
01:33:03.365,WORN,33.97
01:33:34.278,WORN,33.98
01:34:05.872,WORN,33.98
01:34:36.773,WORN,33.98
01:35:07.401,WORN,34.00
01:35:38.401,WORN,34.03
01:36:09.898,WORN,34.02
01:36:40.834,WORN,34.02
01:37:11.896,WORN,34.03
01:37:42.897,WORN,34.01
01:38:13.835,WORN,33.98
01:38:45.399,WORN,33.98
01:39:16.398,WORN,33.98
01:39:47.401,WORN,34.00
01:40:18.335,WORN,34.00
01:40:49.395,WORN,34.01
01:41:20.396,WORN,34.01
01:41:51.836,WORN,34.01
01:42:23.019,WORN,34.01
01:42:53.894,WORN,34.03
01:43:24.897,WORN,34.10
01:43:55.861,WORN,34.16
01:44:27.392,WORN,34.22
01:44:58.397,WORN,34.28
01:45:28.898,WORN,34.34
01:45:59.754,WORN,34.39
01:46:31.254,WORN,34.42
01:47:02.364,WORN,34.44
01:47:33.366,WORN,34.45
01:48:04.393,WORN,34.48
01:48:35.334,WORN,34.51
01:49:06.900,WORN,34.50
01:49:37.833,WORN,34.50
01:50:08.834,WORN,34.46
01:50:39.893,WORN,34.46
01:51:10.830,WORN,34.45
01:51:41.905,WORN,34.44
01:52:13.333,WORN,34.41
01:52:44.399,WORN,34.41
01:53:15.482,WORN,34.39
01:53:46.400,WORN,34.39
01:54:17.394,WORN,34.38
01:54:48.399,WORN,34.38
01:55:19.333,WORN,34.41
01:55:50.402,WORN,34.41
01:56:21.333,WORN,34.41
01:56:52.850,WORN,34.39
01:57:23.834,WORN,34.39
01:57:54.835,WORN,34.39
01:58:25.896,WORN,34.38
01:58:57.028,WORN,34.37
01:59:28.338,WORN,34.37
01:59:59.286,WORN,34.36
03:00:30.333,WORN,34.39
03:01:01.400,WORN,34.44
03:01:32.397,WORN,34.46
03:02:03.901,WORN,34.51
03:02:34.757,WORN,34.53
03:03:05.749,WORN,34.53
03:03:36.777,WORN,34.55
03:04:07.870,WORN,34.59
03:04:38.873,WORN,34.60
03:05:09.895,WORN,34.63
03:05:40.898,WORN,34.70
03:06:11.835,WORN,34.71
03:06:42.897,WORN,34.71
03:07:14.399,WORN,34.72
03:07:45.330,WORN,34.72
03:08:16.332,WORN,34.73
03:08:47.409,WORN,34.75
03:09:18.408,WORN,34.75
03:09:49.898,WORN,34.75
03:10:20.896,WORN,34.77
03:10:51.896,WORN,34.78
03:11:22.908,WORN,34.78
03:11:53.897,WORN,34.79
03:12:25.398,WORN,34.80
03:12:56.395,WORN,34.79
03:13:27.406,WORN,34.79
03:13:58.395,WORN,34.82
03:14:29.397,WORN,34.82
03:15:00.402,WORN,34.83
03:15:31.398,WORN,34.79
03:16:02.401,WORN,34.69
03:16:33.398,WORN,34.61
03:17:04.831,WORN,34.55
03:17:35.905,WORN,34.54
03:18:06.897,WORN,34.54
03:18:37.746,WORN,34.51
03:19:08.745,WORN,34.47
03:19:39.833,WORN,34.45
03:20:11.335,WORN,34.46
03:20:42.398,WORN,34.45
03:21:13.334,WORN,34.46
03:21:44.392,WORN,34.46
03:22:15.332,WORN,34.46
03:22:46.903,WORN,34.48
03:23:17.896,WORN,34.48
03:23:48.831,WORN,34.51
03:24:19.902,WORN,34.51
03:24:50.897,WORN,34.52
03:25:21.902,WORN,34.56
03:25:52.902,WORN,34.59
03:26:23.899,WORN,34.59
03:26:54.832,WORN,34.58
03:27:25.832,WORN,34.57
03:27:57.336,WORN,34.59
03:28:28.403,WORN,34.60
03:28:59.834,WORN,34.63
03:29:30.831,WORN,34.66
03:30:01.394,WORN,34.70
03:30:32.754,WORN,34.73
03:31:03.750,WORN,34.77
03:31:34.778,WORN,34.80
03:32:05.773,WORN,34.82
03:32:36.865,WORN,34.86
03:33:08.364,WORN,34.87
03:33:39.397,WORN,34.89
03:34:10.332,WORN,34.92
03:34:41.332,WORN,34.93
03:35:12.333,WORN,34.98
03:35:43.404,WORN,35.02
03:36:14.392,WORN,35.02
03:36:45.536,WORN,35.02
03:37:16.898,WORN,35.02
03:37:47.895,WORN,35.03
03:38:18.901,WORN,35.03
03:38:50.397,WORN,35.03
03:39:20.905,WORN,35.04
03:39:51.902,WORN,35.05
03:40:22.835,WORN,35.04
03:40:54.400,WORN,35.05
03:41:25.397,WORN,35.07
03:41:56.403,WORN,35.08
03:42:27.479,WORN,35.08
03:42:58.398,WORN,35.08
03:43:29.900,WORN,35.09
03:44:00.834,WORN,35.10
03:44:31.833,WORN,35.10
03:45:02.832,WORN,35.12
03:45:33.833,WORN,35.16
