MS Band Data Logger 2016-4-2
Time Stamp,Band Contact,Skin Temperature(°C)
16:39:10.618,WORN,0.00
16:39:10.684,WORN,31.97
16:39:28.101,WORN,31.99
16:39:59.094,WORN,32.02
16:40:30.098,WORN,32.07
16:41:01.104,WORN,32.12
16:41:32.103,WORN,32.22
16:42:03.094,WORN,32.28
16:42:34.602,WORN,32.33
16:43:05.602,WORN,32.39
16:43:36.602,WORN,32.39
16:44:07.684,WORN,32.41
16:45:08.249,WORN,32.72
16:45:39.244,WORN,32.81
16:46:10.186,WORN,32.79
16:46:41.245,WORN,32.77
16:47:12.180,WORN,32.81
16:47:43.748,WORN,32.86
16:48:14.747,WORN,32.85
16:48:45.747,WORN,32.81
16:49:16.738,WORN,32.74
16:49:47.743,WORN,32.64
16:50:19.254,WORN,32.52
16:50:50.093,WORN,32.39
16:51:21.095,WORN,32.30
16:51:52.222,WORN,32.18
16:52:23.210,WORN,32.06
16:52:54.720,WORN,31.84
16:53:25.625,WORN,31.56
16:53:56.729,WORN,31.60
16:54:27.603,WORN,31.60
16:54:58.594,WORN,31.56
16:55:29.720,WORN,31.60
16:56:00.687,WORN,31.59
16:56:31.687,WORN,31.41
16:57:02.743,WORN,31.21
16:57:33.603,WORN,31.13
16:58:06.106,WORN,31.37
16:58:36.107,WORN,31.26
16:59:09.607,WORN,31.15
16:59:39.095,WORN,31.08
17:00:09.175,WORN,30.98
17:00:41.121,WORN,30.94
17:01:11.723,WORN,30.98
17:01:42.687,WORN,31.00
17:02:13.683,WORN,31.03
17:02:44.744,WORN,31.11
18:18:05.800,WORN,31.04
18:18:05.816,WORN,31.04
18:18:14.386,WORN,30.98
18:18:45.446,WORN,31.06
18:19:16.458,WORN,31.08
18:19:47.451,WORN,31.11
18:20:18.444,WORN,31.17
18:20:49.450,WORN,31.28
18:21:20.388,WORN,31.37
18:21:51.941,WORN,31.45
18:22:22.385,WORN,31.52
18:22:53.383,WORN,31.45
18:23:24.802,WORN,31.58
18:24:11.802,WORN,31.55
18:24:45.947,WORN,31.34
18:25:16.951,WORN,31.24
18:25:47.884,WORN,31.28
18:26:19.412,WORN,31.30
18:26:54.953,WORN,31.50
18:27:21.412,WORN,31.60
18:27:52.445,WORN,31.60
18:28:23.389,WORN,31.78
18:28:43.885,NOT_WORN,31.78
18:28:54.885,NOT_WORN,31.97
18:29:03.942,WORN,31.97
18:29:20.445,NOT_WORN,31.97
18:29:29.448,NOT_WORN,32.01
18:29:59.449,NOT_WORN,32.04
18:30:10.949,WORN,32.04
18:30:27.949,WORN,32.13
18:30:58.885,WORN,32.14
18:31:30.944,WORN,31.94
18:32:01.445,WORN,31.93
18:32:32.443,WORN,31.97
18:33:03.389,WORN,31.97
18:33:23.309,NOT_WORN,31.97
18:33:34.801,NOT_WORN,31.97
18:34:05.464,NOT_WORN,31.97
18:34:14.452,WORN,31.97
18:34:29.889,NOT_WORN,31.97
18:34:36.948,NOT_WORN,31.96
18:34:40.447,WORN,31.96
18:35:08.450,WORN,31.94
18:35:38.885,WORN,31.91
18:36:09.897,WORN,31.91
18:36:40.964,WORN,31.91
